SESSION WITH URL: https://programarecetatenie.eu/programare_online
http://195.62.32.117:22331: Successfully. Timeout: 0:00:00.525966
http://66.65.180.153:8080: Failed. Timeout: 0:00:05.998002
http://195.62.32.117:22331: Successfully. Timeout: 0:00:00.174597
http://163.172.33.137:4001: Successfully. Timeout: 0:00:00.175485
http://45.92.68.8:8080: Successfully. Timeout: 0:00:00.365380
http://67.43.228.253:24409: Successfully. Timeout: 0:00:00.461659
http://119.39.109.233:3128: Successfully. Timeout: 0:00:00.481604
http://200.174.198.86:8888: Successfully. Timeout: 0:00:00.558831
http://72.10.160.90:24715: Successfully. Timeout: 0:00:00.557880
http://67.43.228.253:20631: Successfully. Timeout: 0:00:00.558911
http://199.48.135.186:3121: Successfully. Timeout: 0:00:00.642605
http://72.10.160.93:26637: Successfully. Timeout: 0:00:00.711327
http://72.10.160.170:1269: Successfully. Timeout: 0:00:00.751539
http://67.43.228.254:12965: Successfully. Timeout: 0:00:00.778031
http://122.2.48.121:8080: Successfully. Timeout: 0:00:01.066639
http://67.43.236.20:8563: Successfully. Timeout: 0:00:01.112939
http://164.163.42.25:10000: Successfully. Timeout: 0:00:02.523308
http://189.240.60.171:9090: Failed. Timeout: 0:00:05.987116
http://189.240.60.163:9090: Failed. Timeout: 0:00:05.983252
http://5.252.176.53:3128: Successfully. Timeout: 0:00:00.154872
http://195.62.32.117:22331: Successfully. Timeout: 0:00:00.173006
http://163.172.33.137:4001: Successfully. Timeout: 0:00:00.192166
http://45.92.68.8:8080: Successfully. Timeout: 0:00:00.243742
http://67.43.228.253:24409: Successfully. Timeout: 0:00:00.451538
http://67.43.228.253:20631: Successfully. Timeout: 0:00:00.460614
http://72.10.160.90:24715: Successfully. Timeout: 0:00:00.470001
http://119.39.109.233:3128: Successfully. Timeout: 0:00:00.504749
http://72.10.160.93:26637: Successfully. Timeout: 0:00:00.555438
http://200.174.198.86:8888: Successfully. Timeout: 0:00:00.581594
http://199.48.135.186:3121: Successfully. Timeout: 0:00:00.631406
http://67.43.228.250:15427: Successfully. Timeout: 0:00:00.697701
http://72.10.160.170:1269: Successfully. Timeout: 0:00:00.712122
http://67.43.228.254:12965: Successfully. Timeout: 0:00:00.731446
http://189.240.60.171:9090: Successfully. Timeout: 0:00:00.762088
http://72.10.160.90:11133: Successfully. Timeout: 0:00:00.756117
http://67.43.236.20:8563: Successfully. Timeout: 0:00:00.829442
http://122.2.48.121:8080: Successfully. Timeout: 0:00:00.964032
http://164.163.42.25:10000: Successfully. Timeout: 0:00:01.079360
http://66.65.180.153:8080: Successfully. Timeout: 0:00:03.371915
http://5.252.176.53:3128: Successfully. Timeout: 0:00:00.152870
http://195.62.32.117:22331: Successfully. Timeout: 0:00:00.176755
http://163.172.33.137:4001: Successfully. Timeout: 0:00:00.211917
http://45.92.68.8:8080: Successfully. Timeout: 0:00:00.376278
http://67.43.228.253:20631: Successfully. Timeout: 0:00:00.414936
http://189.240.60.171:9090: Successfully. Timeout: 0:00:00.466162
http://119.39.109.233:3128: Successfully. Timeout: 0:00:00.488965
http://67.43.228.253:24409: Successfully. Timeout: 0:00:00.510539
http://72.10.160.93:26637: Successfully. Timeout: 0:00:00.537039
http://200.174.198.86:8888: Successfully. Timeout: 0:00:00.559131
http://72.10.160.90:24715: Successfully. Timeout: 0:00:00.616284
http://199.48.135.186:3121: Successfully. Timeout: 0:00:00.624953
http://67.43.228.254:12965: Successfully. Timeout: 0:00:00.731116
http://67.43.228.253:5069: Successfully. Timeout: 0:00:00.729991
http://72.10.160.170:1269: Successfully. Timeout: 0:00:00.761418
http://72.10.160.90:11133: Successfully. Timeout: 0:00:00.764028
http://67.43.228.250:15427: Successfully. Timeout: 0:00:00.844909
http://122.2.48.121:8080: Successfully. Timeout: 0:00:00.975003
http://109.236.89.200:11263: Successfully. Timeout: 0:00:00.982730
http://164.163.42.25:10000: Successfully. Timeout: 0:00:01.072784
http://67.43.236.20:8563: Successfully. Timeout: 0:00:01.736937
http://66.65.180.153:8080: Successfully. Timeout: 0:00:02.503848
http://195.62.32.117:22331: Successfully. Timeout: 0:00:00.175254
http://5.252.176.53:3128: Successfully. Timeout: 0:00:00.159245
http://163.172.33.137:4001: Successfully. Timeout: 0:00:00.178509
http://45.92.68.8:8080: Successfully. Timeout: 0:00:00.355941
http://67.43.228.253:20631: Successfully. Timeout: 0:00:00.438758
http://119.39.109.233:3128: Successfully. Timeout: 0:00:00.491908
http://200.174.198.86:8888: Successfully. Timeout: 0:00:00.563131
http://72.10.160.93:26637: Successfully. Timeout: 0:00:00.623846
http://199.48.135.186:3121: Successfully. Timeout: 0:00:00.656364
http://67.43.228.254:12965: Successfully. Timeout: 0:00:00.689470
http://189.240.60.171:9090: Successfully. Timeout: 0:00:00.735808
http://72.10.160.90:24715: Successfully. Timeout: 0:00:00.737746
http://72.10.160.90:11133: Successfully. Timeout: 0:00:00.750720
http://72.10.160.170:1269: Successfully. Timeout: 0:00:00.772570
http://72.10.160.90:12443: Successfully. Timeout: 0:00:00.764553
http://67.43.228.250:15427: Successfully. Timeout: 0:00:00.854843
http://67.43.228.253:5069: Successfully. Timeout: 0:00:01.029996
http://122.2.48.121:8080: Successfully. Timeout: 0:00:01.083256
http://109.236.89.200:11263: Successfully. Timeout: 0:00:01.063940
http://67.43.236.20:8563: Successfully. Timeout: 0:00:02.064657
http://164.163.42.25:10000: Successfully. Timeout: 0:00:02.964708
http://66.65.180.153:8080: Successfully. Timeout: 0:00:04.025344
http://194.88.105.15:11547: Successfully. Timeout: 0:00:04.206371
